date,close,high,low,open,volume,amount
23/6/17,10366.7767,10366.7767,10196.3902,10249.7931,8407313261.00,112791729796.00
22/6/17,10265.1996,10418.6089,10265.1996,10361.3366,9213848233.00,124249845177.00
21/6/17,10367.1732,10367.1732,10269.323,10327.1306,7756186396.00,101982387396.00
20/6/17,10288.5267,10323.0048,10273.0606,10281.5699,7997330811.00,103114773883.00
19/6/17,10262.7997,10262.7997,10191.8661,10191.9805,6572836940.00,85161239854.30
16/6/17,10191.24,10233.7987,10176.8567,10212.9808,6845753243.00,86068967442.20
15/6/17,10221.6916,10225.0515,10134.408,10140.0824,7872284107.00,103143089506.00
14/6/17,10151.5342,10226.1513,10138.8233,10208.8396,7365017098.00,97491586538.90
13/6/17,10224.8178,10237.4044,10102.4997,10104.7097,7310521390.00,94770540923.90
12/6/17,10119.9868,10197.0972,10108.9763,10144.1175,7296816975.00,98579769276.10
9/6/17,10177.4468,10182.6108,10124.9413,10147.0205,7126987575.00,94918321883.50
8/6/17,10148.7215,10162.4834,10097.657,10104.5933,7781284777.00,101802366896.00
7/6/17,10109.8764,10117.0607,9910.5337,9915.1779,8895486626.00,115413632616.00
6/6/17,9915.9233,9915.9233,9821.1322,9834.5415,5389154539.00,70822973235.40
5/6/17,9842.6021,9866.3445,9799.6505,9799.8094,5803517336.00,74512574809.00
2/6/17,9794.8886,9811.581,9637.5385,9708.7194,6465129001.00,78981374867.90
1/6/17,9730.326,9854.5485,9730.0618,9833.8249,7016523793.00,86433891543.30
31/5/17,9864.845,9976.6453,9855.2973,9944.1227,7466976835.00,91623697726.40
26/5/17,9859.2346,9913.4823,9838.6985,9871.6832,7224768611.00,92814360554.30
25/5/17,9893.7782,9917.812,9727.5125,9792.0952,8301301036.00,102254295178.00
24/5/17,9812.4577,9812.4577,9609.4068,9722.0361,6597586564.00,82692373698.90
23/5/17,9763.7828,9914.4954,9761.3111,9878.3797,8049743918.00,100147847781.00
22/5/17,9899.6453,10014.9385,9864.951,9958.2939,7226227026.00,90613092799.10
19/5/17,9970.9623,10005.7135,9922.7627,9978.495,6396539082.00,85235009056.20
18/5/17,9974.348,10045.6795,9936.3073,9955.8589,7049124646.00,92136490869.50
17/5/17,10030.1118,10091.4678,10019.3556,10030.3635,9107886114.00,117535957284.00
16/5/17,10046.6623,10046.6623,9761.3487,9819.7104,9006883751.00,115600797364.00
15/5/17,9845.6032,9866.0656,9812.3763,9812.3763,6170182005.00,79716410331.40
12/5/17,9787.9863,9794.9874,9703.1,9755.8732,6399484533.00,79472102171.80
11/5/17,9776.45,9776.514,9566.4186,9704.8796,8215798305.00,98098003820.70
10/5/17,9756.8087,9945.6126,9756.8087,9875.7372,7478734759.00,95375360831.10
9/5/17,9885.3443,9887.153,9736.1376,9794.814,6447767750.00,82735266679.60
8/5/17,9833.167,10018.5708,9833.167,10000.9535,8231777761.00,97868450074.10
5/5/17,10024.4358,10132.9158,10024.4358,10119.5384,7751781440.00,98165198148.90
4/5/17,10147.4401,10241.5454,10116.0109,10164.8076,7975241598.00,101511704896.00
3/5/17,10184.1362,10244.3525,10146.2599,10208.5991,7605037146.00,95716466109.20
2/5/17,10223.9695,10228.7036,10166.3907,10205.6552,7733164788.00,99348610778.20
28/4/17,10234.6527,10235.2278,10176.082,10208.133,8097022739.00,104115817547.00
27/4/17,10229.1944,10244.0837,10015.8893,10174.2493,9632358295.00,124302886365.00
26/4/17,10204.8425,10251.7023,10161.4179,10162.7155,8443442097.00,112110222916.00
25/4/17,10165.2152,10213.4871,10104.5462,10106.9028,7470502541.00,96645825500.60
24/4/17,10091.8878,10285.0433,10060.1083,10285.0433,7609367699.00,97045842868.90
21/4/17,10314.3535,10407.7747,10300.3985,10357.8582,7102586745.00,91504921095.30
20/4/17,10359.0896,10411.7475,10306.3855,10346.9898,8455447756.00,113540064810.00
19/4/17,10348.4068,10393.734,10234.9978,10377.2776,9245337424.00,118235117945.00
18/4/17,10411.4385,10522.8514,10405.3492,10449.0075,8724787013.00,113616324362.00
17/4/17,10450.8625,10505.6332,10406.5159,10483.9575,8862403363.00,112082746053.00
14/4/17,10519.8562,10662.5325,10515.3736,10662.2551,11151482566.00,135860526119.00
13/4/17,10654.0851,10678.784,10571.7004,10578.5764,10945020649.00,131850585370.00
12/4/17,10587.3125,10667.5993,10584.6947,10643.4847,13919474494.00,168510397169.00
11/4/17,10655.7913,10662.5008,10476.6566,10600.9998,13701372023.00,185377905946.00
10/4/17,10603.2757,10664.0957,10593.7645,10663.8555,12319303961.00,160862625684.00
7/4/17,10669.4803,10702.8826,10635.0801,10652.4036,10448762398.00,138968928653.00
6/4/17,10656.1744,10661.7671,10608.1304,10649.8361,8832405484.00,125756448296.00
5/4/17,10627.1335,10628.6035,10496.7798,10496.7798,9591516529.00,136789416804.00
31/3/17,10428.7228,10428.7228,10351.3306,10351.3306,6368345154.00,93805243873.30
30/3/17,10348.2707,10513.885,10328.9503,10505.3916,8502418936.00,115682679914.00
29/3/17,10520.8168,10585.882,10497.0124,10573.1195,7810627830.00,110382404843.00
28/3/17,10563.2852,10606.0873,10538.0232,10580.163,6542579660.00,96353395767.60
27/3/17,10581.9185,10660.2267,10578.7456,10643.4515,7467530395.00,110233214658.00
24/3/17,10646.7236,10666.119,10580.109,10584.0864,8343201369.00,119915550153.00
23/3/17,10583.0432,10607.7338,10477.5665,10558.3434,7655112492.00,115901218570.00
22/3/17,10553.5265,10586.4841,10488.6336,10535.665,7884947996.00,115280394774.00
21/3/17,10586.6214,10586.6214,10513.6335,10527.4078,6673337996.00,106335838669.00
20/3/17,10532.3313,10534.1142,10459.7359,10512.8876,6983883467.00,106019225821.00
17/3/17,10515.4141,10650.4554,10514.6737,10632.0454,8788418520.00,129946771889.00
16/3/17,10624.421,10628.1841,10573.7721,10573.7721,8585585614.00,126154183925.00
15/3/17,10543.0096,10551.7111,10499.851,10515.5927,6960189447.00,103916159424.00
14/3/17,10531.7286,10577.484,10515.5167,10561.5014,7203983138.00,110838486972.00
13/3/17,10559.8834,10559.8834,10402.7214,10450.6484,7642216739.00,114291635179.00
10/3/17,10451.0081,10476.5885,10415.3785,10415.3785,6153823973.00,95331917407.00
9/3/17,10421.0578,10484.6801,10402.364,10484.2783,6740682720.00,96352162017.00
8/3/17,10498.3127,10549.9935,10473.8815,10549.9935,6377181670.00,95779456397.50
7/3/17,10552.1443,10552.1443,10495.5047,10527.8283,7563996426.00,115528141465.00
6/3/17,10522.2767,10522.2767,10406.2324,10406.2324,7825021365.00,119471478853.00
3/3/17,10397.0474,10404.87,10308.2167,10339.8913,6982571678.00,101531706068.00
2/3/17,10367.3063,10443.8676,10361.9977,10429.9826,7221563439.00,96974313516.30
1/3/17,10418.6218,10446.3823,10378.1223,10387.6308,7507143678.00,100564637056.00
